date,code,action,shares,price,fee
2025-01-02,002969.SZ,BUY,500,3.3264,0.33264000000000005
2025-01-02,002972.SZ,BUY,100,16.158,0.32316000000000006
2025-01-02,002973.SZ,BUY,100,10.7751,0.215502
2025-01-02,002996.SZ,BUY,200,8.6528,0.34611200000000003
2025-01-02,002998.SZ,BUY,300,6.5131,0.39078599999999997
2025-01-02,002999.SZ,BUY,200,8.8545,0.35418
2025-01-02,003000.SZ,BUY,100,15.3921,0.307842
2025-01-02,003003.SZ,BUY,100,10.4735,0.20947
2025-01-02,003012.SZ,BUY,200,7.4525,0.29810000000000003
2025-01-02,003013.SZ,BUY,100,16.514,0.33027999999999996
2025-01-02,003015.SZ,BUY,100,14.8145,0.29629
2025-01-02,003016.SZ,BUY,100,9.9315,0.19863
2025-01-02,003018.SZ,BUY,100,9.9405,0.19881
2025-01-02,003022.SZ,BUY,100,17.948,0.35896
2025-01-02,003030.SZ,BUY,100,16.0332,0.32066400000000006
2025-01-02,003032.SZ,BUY,200,9.4831,0.37932400000000005
2025-01-02,003035.SZ,BUY,400,4.1157,0.32925600000000005
2025-01-02,003036.SZ,BUY,100,12.7867,0.255734
2025-01-02,003037.SZ,BUY,200,7.6079,0.304316
2025-01-02,003039.SZ,BUY,100,13.088,0.26176
2025-01-02,003040.SZ,BUY,100,13.5452,0.27090400000000003
2025-01-02,003042.SZ,BUY,100,18.7212,0.374424
2025-01-02,003816.SZ,BUY,400,4.5019,0.360152
2025-01-02,300013.SZ,BUY,100,15.3704,0.307408
2025-01-02,300032.SZ,BUY,100,18.5728,0.37145600000000006
2025-01-02,300057.SZ,BUY,100,12.3846,0.24769200000000002
2025-01-02,300080.SZ,BUY,100,11.2868,0.22573599999999996
2025-01-02,300094.SZ,BUY,200,9.4833,0.379332
2025-01-02,300096.SZ,BUY,100,16.2423,0.324846
2025-01-02,300097.SZ,BUY,100,19.3801,0.38760199999999995
2025-01-02,300106.SZ,BUY,100,13.5237,0.270474
2025-01-02,300110.SZ,BUY,100,19.0255,0.38051000000000007
2025-01-02,300111.SZ,BUY,200,7.1123,0.284492
2025-01-02,300157.SZ,BUY,100,17.552,0.35104
2025-01-02,300167.SZ,BUY,100,15.8299,0.316598
2025-01-02,300195.SZ,BUY,100,18.4648,0.369296
2025-01-02,300203.SZ,BUY,100,15.6193,0.31238600000000005
2025-01-02,300254.SZ,BUY,100,12.8474,0.256948
2025-01-02,300268.SZ,BUY,100,13.6588,0.273176
2025-01-02,300269.SZ,BUY,100,16.7203,0.33440600000000004
2025-01-02,300289.SZ,BUY,100,12.514,0.25028
2025-01-02,300300.SZ,BUY,100,18.2544,0.365088
2025-01-02,300301.SZ,BUY,100,10.2516,0.20503200000000002
2025-01-02,300307.SZ,BUY,100,18.7027,0.374054
2025-01-02,300313.SZ,BUY,100,11.5152,0.230304
2025-01-02,300317.SZ,BUY,100,9.9612,0.199224
2025-01-02,300329.SZ,BUY,100,19.4818,0.38963600000000004
2025-01-02,300332.SZ,BUY,100,11.882,0.23764000000000002
2025-01-02,300334.SZ,BUY,100,12.8445,0.25689
2025-01-02,300335.SZ,BUY,100,12.8558,0.257116
2025-01-02,300350.SZ,BUY,100,19.4644,0.389288
2025-01-02,300385.SZ,BUY,100,18.4521,0.36904200000000004
2025-01-02,300391.SZ,BUY,100,18.6288,0.372576
2025-01-02,300402.SZ,BUY,100,15.1596,0.303192
2025-01-02,300405.SZ,BUY,100,19.027,0.38054000000000004
2025-01-02,300427.SZ,BUY,100,19.2506,0.385012
2025-01-02,300460.SZ,BUY,100,16.7513,0.33502600000000005
2025-01-02,300462.SZ,BUY,100,18.1464,0.362928
2025-01-02,300464.SZ,BUY,100,13.1284,0.262568
2025-01-02,300472.SZ,BUY,100,16.0498,0.320996
2025-01-02,300477.SZ,BUY,100,18.1969,0.36393800000000004
